isbn,sku,price,availability,itemCondition,priceCurrency
9780006178521,GOR007978214,11.99,https://schema.org/InStock,Very Good,AUD
9780006178491,GOR002395692,14.99,https://schema.org/InStock,Very Good,AUD
9780006178491,GOR002754463,14.99,https://schema.org/InStock,Good,AUD
9780006178491,GOR003137830,14.99,https://schema.org/InStock,Well Read,AUD
9780006178484,GOR004296998,13.69,https://schema.org/InStock,Very Good,AUD
9780006178699,GOR002650108,13.69,https://schema.org/InStock,Very Good,AUD
9780006178699,GOR000322398,13.69,https://schema.org/InStock,Good,AUD
9780006178538,GOR003715365,16.49,https://schema.org/InStock,Very Good,AUD
9780006178552,GOR002879184,11.99,https://schema.org/InStock,Very Good,AUD
9780006178545,GOR001900008,11.99,https://schema.org/InStock,Very Good,AUD
9780006178545,GOR002879186,11.99,https://schema.org/InStock,Good,AUD
9780006178477,GOR004482858,13.69,https://schema.org/InStock,Very Good,AUD
9780006178477,GOR001939107,13.99,https://schema.org/InStock,Well Read,AUD
9780006178453,GOR002649063,13.69,https://schema.org/InStock,Very Good,AUD
9780006178453,GOR004933818,13.69,https://schema.org/InStock,Good,AUD
9780006178309,GOR002733163,16.99,https://schema.org/InStock,Very Good,AUD
9780006178309,GOR003166710,16.99,https://schema.org/InStock,Good,AUD
9780006178262,GOR001832411,16.99,https://schema.org/InStock,Very Good,AUD
9780006178439,GOR002210866,13.99,https://schema.org/InStock,Very Good,AUD
9780006178439,GOR013276054,13.99,https://schema.org/InStock,Well Read,AUD
9780006178323,GOR012207529,17.19,https://schema.org/InStock,Very Good,AUD
9780006178323,GOR005537952,17.19,https://schema.org/InStock,Well Read,AUD
9780006178217,GOR000794203,13.99,https://schema.org/InStock,Very Good,AUD
9780006178217,GOR000252367,13.99,https://schema.org/InStock,Good,AUD
9780006178217,GOR000832276,13.99,https://schema.org/InStock,Well Read,AUD
9780006178194,GOR002529612,30.99,https://schema.org/InStock,Very Good,AUD
9780006178194,GOR001543273,30.99,https://schema.org/InStock,Well Read,AUD
9780006178057,GOR002784008,17.99,https://schema.org/InStock,Very Good,AUD
9780006178057,GOR002709679,17.99,https://schema.org/InStock,Good,AUD
9780006178057,GOR001743843,17.99,https://schema.org/InStock,Well Read,AUD
9780006178163,GOR002684270,38.99,https://schema.org/InStock,Very Good,AUD
9780006178040,GOR001305843,30.99,https://schema.org/InStock,Very Good,AUD
9780006178040,GOR001079123,24.99,https://schema.org/InStock,Good,AUD
9780006178040,GOR000760885,30.99,https://schema.org/InStock,Well Read,AUD
9780006178231,GOR005710784,15.99,https://schema.org/InStock,Very Good,AUD
9780006178095,GOR001796276,20.49,https://schema.org/InStock,Well Read,AUD
9780006178033,GOR001511408,14.49,https://schema.org/InStock,Very Good,AUD
9780006178033,GOR000871852,14.49,https://schema.org/InStock,Good,AUD
9780006178033,GOR000987154,14.49,https://schema.org/InStock,Well Read,AUD
9780006178224,GOR000461980,14.49,https://schema.org/InStock,Very Good,AUD
9780006178224,GOR000058751,13.69,https://schema.org/InStock,Good,AUD
9780006178224,GOR000176600,14.49,https://schema.org/InStock,Well Read,AUD
9780006178224,NGR9780006178224,31.59,https://schema.org/InStock,New,AUD
9780006178002,GOR003684468,13.69,https://schema.org/InStock,Very Good,AUD
9780006177982,GOR000469942,13.69,https://schema.org/InStock,Very Good,AUD
9780006177982,GOR000488998,13.69,https://schema.org/InStock,Good,AUD
9780006177975,GOR003569249,24.99,https://schema.org/InStock,Very Good,AUD
9780006177975,GOR004550600,11.99,https://schema.org/InStock,Good,AUD
9780006177944,GOR008634088,13.99,https://schema.org/InStock,Very Good,AUD
9780006177890,GOR003715203,11.99,https://schema.org/InStock,Very Good,AUD
9780006177890,GOR002102225,11.99,https://schema.org/InStock,Well Read,AUD
9780006177906,GOR001230372,25.49,https://schema.org/InStock,Very Good,AUD
9780006177883,GOR001942575,17.19,https://schema.org/InStock,Very Good,AUD
9780006177883,GOR002652664,17.99,https://schema.org/InStock,Well Read,AUD
9780006177838,GOR002096299,13.69,https://schema.org/InStock,Very Good,AUD
